record_id,title,abstract,year,seed_theme,record_type,text_for_embedding
breast-cancer-x-0255,Integrated analysis of microenvironment phenotypes with ctDNA surveillance: study 255,"This paper links stromal exclusion and TNBC immune context to molecular relapse and ctDNA monitoring. The framing emphasizes dose optimization, molecular profiling, and early-phase trial across mixed translational contexts.",2022,TNBC immunotherapy + Monitoring and MRD,crossover,"Integrated analysis of microenvironment phenotypes with ctDNA surveillance: study 255 [SEP] This paper links stromal exclusion and TNBC immune context to molecular relapse and ctDNA monitoring. The framing emphasizes dose optimization, molecular profiling, and early-phase trial across mixed translational contexts."
breast-cancer-01-0053,HER2-focused development in HER2-low disease: study 53,"This study examines HER2-low disease through antibody development, amplification signal, and resistance adaptation. It also discusses links to PD-L1 selection and combination immunotherapy, alongside mechanism of resistance and portfolio review.",2024,HER2 biology,core,"HER2-focused development in HER2-low disease: study 53 [SEP] This study examines HER2-low disease through antibody development, amplification signal, and resistance adaptation. It also discusses links to PD-L1 selection and combination immunotherapy, alongside mechanism of resistance and portfolio review."
breast-cancer-02-0145,Endocrine resistance strategy for ESR1 mutations: study 145,"This study examines ESR1 mutations through hormone signaling, CDK4/6 adaptation, and ESR1 mutation. It also discusses links to checkpoint biomarker and stromal exclusion, alongside mechanism of resistance and real-world evidence.",2021,Endocrine resistance,core,"Endocrine resistance strategy for ESR1 mutations: study 145 [SEP] This study examines ESR1 mutations through hormone signaling, CDK4/6 adaptation, and ESR1 mutation. It also discusses links to checkpoint biomarker and stromal exclusion, alongside mechanism of resistance and real-world evidence."
breast-cancer-04-0264,Residual disease monitoring in longitudinal liquid biopsy: study 264,"This study examines longitudinal liquid biopsy through minimal residual disease, longitudinal surveillance, and liquid biopsy. It also discusses links to checkpoint biomarker and combination immunotherapy, alongside dose optimization and mechanism of resistance.",2022,Monitoring and MRD,core,"Residual disease monitoring in longitudinal liquid biopsy: study 264 [SEP] This study examines longitudinal liquid biopsy through minimal residual disease, longitudinal surveillance, and liquid biopsy. It also discusses links to checkpoint biomarker and combination immunotherapy, alongside dose optimization and mechanism of resistance."
breast-cancer-r-0277,"Landscape review of HER2-low disease, CDK4/6 adaptation, and microenvironment phenotypes","This review connects amplification signal, endocrine resistance, TNBC immune context, and liquid biopsy. It frames the field around clinical development, early-phase trial, dose optimization, and patient stratification.",2022,review-like mixed corpus,review,"Landscape review of HER2-low disease, CDK4/6 adaptation, and microenvironment phenotypes [SEP] This review connects amplification signal, endocrine resistance, TNBC immune context, and liquid biopsy. It frames the field around clinical development, early-phase trial, dose optimization, and patient stratification."
breast-cancer-02-0401,Endocrine resistance strategy for ESR1 mutations: study 401,"This study examines ESR1 mutations through ER pathway, hormone signaling, and ESR1 mutation. It also discusses links to longitudinal surveillance and ctDNA monitoring, alongside molecular profiling and dose optimization.",2025,Endocrine resistance,core,"Endocrine resistance strategy for ESR1 mutations: study 401 [SEP] This study examines ESR1 mutations through ER pathway, hormone signaling, and ESR1 mutation. It also discusses links to longitudinal surveillance and ctDNA monitoring, alongside molecular profiling and dose optimization."
breast-cancer-03-0074,Immunotherapy programs in PD-L1 stratification: study 74,"This study examines PD-L1 stratification through stromal exclusion, checkpoint biomarker, and microenvironment state. It also discusses links to brain metastasis and antibody development, alongside mechanism of resistance and molecular profiling.",2023,TNBC immunotherapy,core,"Immunotherapy programs in PD-L1 stratification: study 74 [SEP] This study examines PD-L1 stratification through stromal exclusion, checkpoint biomarker, and microenvironment state. It also discusses links to brain metastasis and antibody development, alongside mechanism of resistance and molecular profiling."
breast-cancer-01-0473,HER2-focused development in HER2-low disease: study 473,"This study examines HER2-low disease through brain metastasis, HER2 biology, and antibody development. It also discusses links to microenvironment state and checkpoint biomarker, alongside translational biomarker and patient stratification.",2024,HER2 biology,core,"HER2-focused development in HER2-low disease: study 473 [SEP] This study examines HER2-low disease through brain metastasis, HER2 biology, and antibody development. It also discusses links to microenvironment state and checkpoint biomarker, alongside translational biomarker and patient stratification."
breast-cancer-r-0239,"Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease","This review connects antibody development, hormone signaling, TNBC immune context, and response tracking. It frames the field around molecular profiling, portfolio review, real-world evidence, and validation cohort.",2020,review-like mixed corpus,review,"Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease [SEP] This review connects antibody development, hormone signaling, TNBC immune context, and response tracking. It frames the field around molecular profiling, portfolio review, real-world evidence, and validation cohort."
breast-cancer-r-0047,"Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease","This review connects brain metastasis, CDK4/6 adaptation, TNBC immune context, and molecular relapse. It frames the field around dose optimization, validation cohort, clinical development, and translational biomarker.",2020,review-like mixed corpus,review,"Landscape review of brain metastases, selective estrogen degraders, and triple-negative disease [SEP] This review connects brain metastasis, CDK4/6 adaptation, TNBC immune context, and molecular relapse. It frames the field around dose optimization, validation cohort, clinical development, and translational biomarker."
breast-cancer-01-0045,HER2-focused development in HER2-low disease: study 45,"This study examines HER2-low disease through brain metastasis, HER2 biology, and combination treatment. It also discusses links to longitudinal surveillance and molecular relapse, alongside portfolio review and validation cohort.",2022,HER2 biology,core,"HER2-focused development in HER2-low disease: study 45 [SEP] This study examines HER2-low disease through brain metastasis, HER2 biology, and combination treatment. It also discusses links to longitudinal surveillance and molecular relapse, alongside portfolio review and validation cohort."
breast-cancer-01-0290,HER2-focused development in HER2 resistance: study 290,"This study examines HER2 resistance through combination treatment, HER2 biology, and amplification signal. It also discusses links to microenvironment state and combination immunotherapy, alongside patient stratification and clinical development.",2021,HER2 biology,core,"HER2-focused development in HER2 resistance: study 290 [SEP] This study examines HER2 resistance through combination treatment, HER2 biology, and amplification signal. It also discusses links to microenvironment state and combination immunotherapy, alongside patient stratification and clinical development."
breast-cancer-02-0413,Endocrine resistance strategy for ESR1 mutations: study 413,"This study examines ESR1 mutations through endocrine resistance, ESR1 mutation, and targeted escape. It also discusses links to response tracking and longitudinal surveillance, alongside mechanism of resistance and dose optimization.",2025,Endocrine resistance,core,"Endocrine resistance strategy for ESR1 mutations: study 413 [SEP] This study examines ESR1 mutations through endocrine resistance, ESR1 mutation, and targeted escape. It also discusses links to response tracking and longitudinal surveillance, alongside mechanism of resistance and dose optimization."
breast-cancer-x-0084,Integrated analysis of longitudinal liquid biopsy with brain metastases: study 84,"This paper links ctDNA monitoring and longitudinal surveillance to antibody development and amplification signal. The framing emphasizes molecular profiling, portfolio review, and validation cohort across mixed translational contexts.",2025,Monitoring and MRD + HER2 biology,crossover,"Integrated analysis of longitudinal liquid biopsy with brain metastases: study 84 [SEP] This paper links ctDNA monitoring and longitudinal surveillance to antibody development and amplification signal. The framing emphasizes molecular profiling, portfolio review, and validation cohort across mixed translational contexts."
breast-cancer-03-0361,Immunotherapy programs in triple-negative disease: study 361,"This study examines triple-negative disease through PD-L1 selection, checkpoint biomarker, and stromal exclusion. It also discusses links to longitudinal surveillance and minimal residual disease, alongside portfolio review and validation cohort.",2022,TNBC immunotherapy,core,"Immunotherapy programs in triple-negative disease: study 361 [SEP] This study examines triple-negative disease through PD-L1 selection, checkpoint biomarker, and stromal exclusion. It also discusses links to longitudinal surveillance and minimal residual disease, alongside portfolio review and validation cohort."
breast-cancer-r-0396,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification","This review connects combination treatment, ER pathway, stromal exclusion, and response tracking. It frames the field around patient stratification, mechanism of resistance, validation cohort, and real-world evidence.",2021,review-like mixed corpus,review,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification [SEP] This review connects combination treatment, ER pathway, stromal exclusion, and response tracking. It frames the field around patient stratification, mechanism of resistance, validation cohort, and real-world evidence."
breast-cancer-r-0104,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification","This review connects HER2 biology, CDK4/6 adaptation, TNBC immune context, and ctDNA monitoring. It frames the field around validation cohort, patient stratification, portfolio review, and molecular profiling.",2023,review-like mixed corpus,review,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification [SEP] This review connects HER2 biology, CDK4/6 adaptation, TNBC immune context, and ctDNA monitoring. It frames the field around validation cohort, patient stratification, portfolio review, and molecular profiling."
breast-cancer-03-0227,Immunotherapy programs in microenvironment phenotypes: study 227,"This study examines microenvironment phenotypes through microenvironment state, stromal exclusion, and combination immunotherapy. It also discusses links to amplification signal and combination treatment, alongside dose optimization and clinical development.",2020,TNBC immunotherapy,core,"Immunotherapy programs in microenvironment phenotypes: study 227 [SEP] This study examines microenvironment phenotypes through microenvironment state, stromal exclusion, and combination immunotherapy. It also discusses links to amplification signal and combination treatment, alongside dose optimization and clinical development."
breast-cancer-01-0297,HER2-focused development in HER2-low disease: study 297,"This study examines HER2-low disease through resistance adaptation, HER2 biology, and brain metastasis. It also discusses links to response tracking and minimal residual disease, alongside real-world evidence and portfolio review.",2022,HER2 biology,core,"HER2-focused development in HER2-low disease: study 297 [SEP] This study examines HER2-low disease through resistance adaptation, HER2 biology, and brain metastasis. It also discusses links to response tracking and minimal residual disease, alongside real-world evidence and portfolio review."
breast-cancer-03-0242,Immunotherapy programs in PD-L1 stratification: study 242,"This study examines PD-L1 stratification through microenvironment state, TNBC immune context, and combination immunotherapy. It also discusses links to combination treatment and amplification signal, alongside translational biomarker and molecular profiling.",2023,TNBC immunotherapy,core,"Immunotherapy programs in PD-L1 stratification: study 242 [SEP] This study examines PD-L1 stratification through microenvironment state, TNBC immune context, and combination immunotherapy. It also discusses links to combination treatment and amplification signal, alongside translational biomarker and molecular profiling."
breast-cancer-03-0006,Immunotherapy programs in PD-L1 stratification: study 6,"This study examines PD-L1 stratification through PD-L1 selection, combination immunotherapy, and microenvironment state. It also discusses links to hormone signaling and CDK4/6 adaptation, alongside portfolio review and dose optimization.",2021,TNBC immunotherapy,core,"Immunotherapy programs in PD-L1 stratification: study 6 [SEP] This study examines PD-L1 stratification through PD-L1 selection, combination immunotherapy, and microenvironment state. It also discusses links to hormone signaling and CDK4/6 adaptation, alongside portfolio review and dose optimization."
breast-cancer-04-0166,Residual disease monitoring in minimal residual disease: study 166,"This study examines minimal residual disease through liquid biopsy, molecular relapse, and longitudinal surveillance. It also discusses links to brain metastasis and HER2 biology, alongside portfolio review and dose optimization.",2020,Monitoring and MRD,core,"Residual disease monitoring in minimal residual disease: study 166 [SEP] This study examines minimal residual disease through liquid biopsy, molecular relapse, and longitudinal surveillance. It also discusses links to brain metastasis and HER2 biology, alongside portfolio review and dose optimization."
breast-cancer-02-0247,Endocrine resistance strategy for PI3K pathway: study 247,"This study examines PI3K pathway through endocrine resistance, ESR1 mutation, and targeted escape. It also discusses links to checkpoint biomarker and PD-L1 selection, alongside real-world evidence and mechanism of resistance.",2021,Endocrine resistance,core,"Endocrine resistance strategy for PI3K pathway: study 247 [SEP] This study examines PI3K pathway through endocrine resistance, ESR1 mutation, and targeted escape. It also discusses links to checkpoint biomarker and PD-L1 selection, alongside real-world evidence and mechanism of resistance."
breast-cancer-r-0352,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification","This review connects combination treatment, CDK4/6 adaptation, microenvironment state, and minimal residual disease. It frames the field around molecular profiling, mechanism of resistance, translational biomarker, and dose optimization.",2025,review-like mixed corpus,review,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification [SEP] This review connects combination treatment, CDK4/6 adaptation, microenvironment state, and minimal residual disease. It frames the field around molecular profiling, mechanism of resistance, translational biomarker, and dose optimization."
breast-cancer-01-0292,HER2-focused development in HER2 antibody combinations: study 292,"This study examines HER2 antibody combinations through brain metastasis, combination treatment, and amplification signal. It also discusses links to endocrine resistance and hormone signaling, alongside validation cohort and mechanism of resistance.",2023,HER2 biology,core,"HER2-focused development in HER2 antibody combinations: study 292 [SEP] This study examines HER2 antibody combinations through brain metastasis, combination treatment, and amplification signal. It also discusses links to endocrine resistance and hormone signaling, alongside validation cohort and mechanism of resistance."
breast-cancer-02-0282,Endocrine resistance strategy for CDK4/6 adaptation: study 282,"This study examines CDK4/6 adaptation through targeted escape, hormone signaling, and ER pathway. It also discusses links to combination treatment and brain metastasis, alongside portfolio review and clinical development.",2020,Endocrine resistance,core,"Endocrine resistance strategy for CDK4/6 adaptation: study 282 [SEP] This study examines CDK4/6 adaptation through targeted escape, hormone signaling, and ER pathway. It also discusses links to combination treatment and brain metastasis, alongside portfolio review and clinical development."
breast-cancer-x-0145,Integrated analysis of HER2-low disease with ESR1 mutations: study 145,"This paper links resistance adaptation and brain metastasis to ESR1 mutation and ER pathway. The framing emphasizes clinical development, mechanism of resistance, and portfolio review across mixed translational contexts.",2020,HER2 biology + Endocrine resistance,crossover,"Integrated analysis of HER2-low disease with ESR1 mutations: study 145 [SEP] This paper links resistance adaptation and brain metastasis to ESR1 mutation and ER pathway. The framing emphasizes clinical development, mechanism of resistance, and portfolio review across mixed translational contexts."
breast-cancer-01-0323,HER2-focused development in brain metastases: study 323,"This study examines brain metastases through brain metastasis, HER2 biology, and amplification signal. It also discusses links to microenvironment state and combination immunotherapy, alongside translational biomarker and portfolio review.",2024,HER2 biology,core,"HER2-focused development in brain metastases: study 323 [SEP] This study examines brain metastases through brain metastasis, HER2 biology, and amplification signal. It also discusses links to microenvironment state and combination immunotherapy, alongside translational biomarker and portfolio review."
breast-cancer-01-0299,HER2-focused development in brain metastases: study 299,"This study examines brain metastases through amplification signal, antibody development, and brain metastasis. It also discusses links to stromal exclusion and combination immunotherapy, alongside patient stratification and molecular profiling.",2024,HER2 biology,core,"HER2-focused development in brain metastases: study 299 [SEP] This study examines brain metastases through amplification signal, antibody development, and brain metastasis. It also discusses links to stromal exclusion and combination immunotherapy, alongside patient stratification and molecular profiling."
breast-cancer-03-0299,Immunotherapy programs in microenvironment phenotypes: study 299,"This study examines microenvironment phenotypes through microenvironment state, PD-L1 selection, and stromal exclusion. It also discusses links to antibody development and HER2 biology, alongside early-phase trial and real-world evidence.",2020,TNBC immunotherapy,core,"Immunotherapy programs in microenvironment phenotypes: study 299 [SEP] This study examines microenvironment phenotypes through microenvironment state, PD-L1 selection, and stromal exclusion. It also discusses links to antibody development and HER2 biology, alongside early-phase trial and real-world evidence."
breast-cancer-01-0195,HER2-focused development in brain metastases: study 195,"This study examines brain metastases through HER2 biology, combination treatment, and antibody development. It also discusses links to liquid biopsy and longitudinal surveillance, alongside real-world evidence and molecular profiling.",2022,HER2 biology,core,"HER2-focused development in brain metastases: study 195 [SEP] This study examines brain metastases through HER2 biology, combination treatment, and antibody development. It also discusses links to liquid biopsy and longitudinal surveillance, alongside real-world evidence and molecular profiling."
breast-cancer-01-0064,HER2-focused development in HER2 antibody combinations: study 64,"This study examines HER2 antibody combinations through combination treatment, amplification signal, and brain metastasis. It also discusses links to targeted escape and CDK4/6 adaptation, alongside translational biomarker and mechanism of resistance.",2023,HER2 biology,core,"HER2-focused development in HER2 antibody combinations: study 64 [SEP] This study examines HER2 antibody combinations through combination treatment, amplification signal, and brain metastasis. It also discusses links to targeted escape and CDK4/6 adaptation, alongside translational biomarker and mechanism of resistance."
breast-cancer-01-0394,HER2-focused development in HER2 resistance: study 394,"This study examines HER2 resistance through amplification signal, combination treatment, and HER2 biology. It also discusses links to endocrine resistance and targeted escape, alongside early-phase trial and molecular profiling.",2023,HER2 biology,core,"HER2-focused development in HER2 resistance: study 394 [SEP] This study examines HER2 resistance through amplification signal, combination treatment, and HER2 biology. It also discusses links to endocrine resistance and targeted escape, alongside early-phase trial and molecular profiling."
breast-cancer-02-0228,Endocrine resistance strategy for selective estrogen degraders: study 228,"This study examines selective estrogen degraders through ESR1 mutation, endocrine resistance, and targeted escape. It also discusses links to resistance adaptation and antibody development, alongside clinical development and mechanism of resistance.",2020,Endocrine resistance,core,"Endocrine resistance strategy for selective estrogen degraders: study 228 [SEP] This study examines selective estrogen degraders through ESR1 mutation, endocrine resistance, and targeted escape. It also discusses links to resistance adaptation and antibody development, alongside clinical development and mechanism of resistance."
breast-cancer-04-0084,Residual disease monitoring in longitudinal liquid biopsy: study 84,"This study examines longitudinal liquid biopsy through longitudinal surveillance, response tracking, and molecular relapse. It also discusses links to microenvironment state and combination immunotherapy, alongside translational biomarker and validation cohort.",2022,Monitoring and MRD,core,"Residual disease monitoring in longitudinal liquid biopsy: study 84 [SEP] This study examines longitudinal liquid biopsy through longitudinal surveillance, response tracking, and molecular relapse. It also discusses links to microenvironment state and combination immunotherapy, alongside translational biomarker and validation cohort."
breast-cancer-04-0048,Residual disease monitoring in longitudinal liquid biopsy: study 48,"This study examines longitudinal liquid biopsy through response tracking, ctDNA monitoring, and longitudinal surveillance. It also discusses links to combination immunotherapy and microenvironment state, alongside mechanism of resistance and portfolio review.",2022,Monitoring and MRD,core,"Residual disease monitoring in longitudinal liquid biopsy: study 48 [SEP] This study examines longitudinal liquid biopsy through response tracking, ctDNA monitoring, and longitudinal surveillance. It also discusses links to combination immunotherapy and microenvironment state, alongside mechanism of resistance and portfolio review."
breast-cancer-x-0426,Integrated analysis of CDK4/6 adaptation with microenvironment phenotypes: study 426,"This paper links CDK4/6 adaptation and ER pathway to combination immunotherapy and checkpoint biomarker. The framing emphasizes early-phase trial, real-world evidence, and patient stratification across mixed translational contexts.",2025,Endocrine resistance + TNBC immunotherapy,crossover,"Integrated analysis of CDK4/6 adaptation with microenvironment phenotypes: study 426 [SEP] This paper links CDK4/6 adaptation and ER pathway to combination immunotherapy and checkpoint biomarker. The framing emphasizes early-phase trial, real-world evidence, and patient stratification across mixed translational contexts."
breast-cancer-01-0015,HER2-focused development in brain metastases: study 15,"This study examines brain metastases through brain metastasis, HER2 biology, and combination treatment. It also discusses links to ctDNA monitoring and response tracking, alongside clinical development and dose optimization.",2022,HER2 biology,core,"HER2-focused development in brain metastases: study 15 [SEP] This study examines brain metastases through brain metastasis, HER2 biology, and combination treatment. It also discusses links to ctDNA monitoring and response tracking, alongside clinical development and dose optimization."
breast-cancer-r-0068,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification","This review connects resistance adaptation, ER pathway, stromal exclusion, and response tracking. It frames the field around early-phase trial, clinical development, real-world evidence, and translational biomarker.",2023,review-like mixed corpus,review,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification [SEP] This review connects resistance adaptation, ER pathway, stromal exclusion, and response tracking. It frames the field around early-phase trial, clinical development, real-world evidence, and translational biomarker."
breast-cancer-04-0101,Residual disease monitoring in ctDNA surveillance: study 101,"This study examines ctDNA surveillance through liquid biopsy, longitudinal surveillance, and minimal residual disease. It also discusses links to targeted escape and ER pathway, alongside translational biomarker and portfolio review.",2021,Monitoring and MRD,core,"Residual disease monitoring in ctDNA surveillance: study 101 [SEP] This study examines ctDNA surveillance through liquid biopsy, longitudinal surveillance, and minimal residual disease. It also discusses links to targeted escape and ER pathway, alongside translational biomarker and portfolio review."
breast-cancer-03-0091,Immunotherapy programs in microenvironment phenotypes: study 91,"This study examines microenvironment phenotypes through TNBC immune context, PD-L1 selection, and checkpoint biomarker. It also discusses links to molecular relapse and longitudinal surveillance, alongside early-phase trial and patient stratification.",2022,TNBC immunotherapy,core,"Immunotherapy programs in microenvironment phenotypes: study 91 [SEP] This study examines microenvironment phenotypes through TNBC immune context, PD-L1 selection, and checkpoint biomarker. It also discusses links to molecular relapse and longitudinal surveillance, alongside early-phase trial and patient stratification."
breast-cancer-x-0112,Integrated analysis of longitudinal liquid biopsy with brain metastases: study 112,"This paper links ctDNA monitoring and longitudinal surveillance to HER2 biology and amplification signal. The framing emphasizes mechanism of resistance, portfolio review, and patient stratification across mixed translational contexts.",2023,Monitoring and MRD + HER2 biology,crossover,"Integrated analysis of longitudinal liquid biopsy with brain metastases: study 112 [SEP] This paper links ctDNA monitoring and longitudinal surveillance to HER2 biology and amplification signal. The framing emphasizes mechanism of resistance, portfolio review, and patient stratification across mixed translational contexts."
breast-cancer-01-0204,HER2-focused development in HER2 antibody combinations: study 204,"This study examines HER2 antibody combinations through resistance adaptation, antibody development, and brain metastasis. It also discusses links to molecular relapse and ctDNA monitoring, alongside early-phase trial and validation cohort.",2025,HER2 biology,core,"HER2-focused development in HER2 antibody combinations: study 204 [SEP] This study examines HER2 antibody combinations through resistance adaptation, antibody development, and brain metastasis. It also discusses links to molecular relapse and ctDNA monitoring, alongside early-phase trial and validation cohort."
breast-cancer-x-0419,Integrated analysis of microenvironment phenotypes with ctDNA surveillance: study 419,"This paper links TNBC immune context and PD-L1 selection to minimal residual disease and liquid biopsy. The framing emphasizes patient stratification, validation cohort, and portfolio review across mixed translational contexts.",2024,TNBC immunotherapy + Monitoring and MRD,crossover,"Integrated analysis of microenvironment phenotypes with ctDNA surveillance: study 419 [SEP] This paper links TNBC immune context and PD-L1 selection to minimal residual disease and liquid biopsy. The framing emphasizes patient stratification, validation cohort, and portfolio review across mixed translational contexts."
breast-cancer-01-0153,HER2-focused development in HER2-low disease: study 153,"This study examines HER2-low disease through antibody development, resistance adaptation, and amplification signal. It also discusses links to ctDNA monitoring and longitudinal surveillance, alongside portfolio review and clinical development.",2022,HER2 biology,core,"HER2-focused development in HER2-low disease: study 153 [SEP] This study examines HER2-low disease through antibody development, resistance adaptation, and amplification signal. It also discusses links to ctDNA monitoring and longitudinal surveillance, alongside portfolio review and clinical development."
breast-cancer-r-0402,"Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade","This review connects antibody development, targeted escape, checkpoint biomarker, and ctDNA monitoring. It frames the field around translational biomarker, dose optimization, molecular profiling, and clinical development.",2021,review-like mixed corpus,review,"Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade [SEP] This review connects antibody development, targeted escape, checkpoint biomarker, and ctDNA monitoring. It frames the field around translational biomarker, dose optimization, molecular profiling, and clinical development."
breast-cancer-03-0360,Immunotherapy programs in combination checkpoint blockade: study 360,"This study examines combination checkpoint blockade through combination immunotherapy, checkpoint biomarker, and TNBC immune context. It also discusses links to endocrine resistance and ESR1 mutation, alongside early-phase trial and real-world evidence.",2021,TNBC immunotherapy,core,"Immunotherapy programs in combination checkpoint blockade: study 360 [SEP] This study examines combination checkpoint blockade through combination immunotherapy, checkpoint biomarker, and TNBC immune context. It also discusses links to endocrine resistance and ESR1 mutation, alongside early-phase trial and real-world evidence."
breast-cancer-02-0273,Endocrine resistance strategy for ESR1 mutations: study 273,"This study examines ESR1 mutations through ESR1 mutation, targeted escape, and CDK4/6 adaptation. It also discusses links to combination treatment and antibody development, alongside mechanism of resistance and validation cohort.",2023,Endocrine resistance,core,"Endocrine resistance strategy for ESR1 mutations: study 273 [SEP] This study examines ESR1 mutations through ESR1 mutation, targeted escape, and CDK4/6 adaptation. It also discusses links to combination treatment and antibody development, alongside mechanism of resistance and validation cohort."
