record_id,title,abstract,year,seed_theme,record_type,text_for_embedding
adc-landscape-02-0401,Linker-payload optimization for topoisomerase payloads: study 401,"This study examines topoisomerase payloads through bystander payload, linker stability, and payload release. It also discusses links to translation risk and hematologic toxicity, alongside molecular profiling and patient stratification.",2025,Linker and payload,core,"Linker-payload optimization for topoisomerase payloads: study 401 [SEP] This study examines topoisomerase payloads through bystander payload, linker stability, and payload release. It also discusses links to translation risk and hematologic toxicity, alongside molecular profiling and patient stratification."
adc-landscape-03-0074,Resistance mechanisms in bystander effect: study 74,"This study examines bystander effect through heterogeneity signal, lysosomal escape, and bystander killing. It also discusses links to tumor heterogeneity and antigen density, alongside translational biomarker and patient stratification.",2023,Resistance and bystander,core,"Resistance mechanisms in bystander effect: study 74 [SEP] This study examines bystander effect through heterogeneity signal, lysosomal escape, and bystander killing. It also discusses links to tumor heterogeneity and antigen density, alongside translational biomarker and patient stratification."
adc-landscape-01-0473,Target biology for HER2 ADCs: study 473,"This study examines HER2 ADCs through internalization, surface biology, and target expression. It also discusses links to resistance biology and payload efflux, alongside patient stratification and mechanism of resistance.",2024,Target biology,core,"Target biology for HER2 ADCs: study 473 [SEP] This study examines HER2 ADCs through internalization, surface biology, and target expression. It also discusses links to resistance biology and payload efflux, alongside patient stratification and mechanism of resistance."
adc-landscape-r-0239,"Landscape review of HER3 targeting, site-specific conjugation, and antigen loss","This review connects surface biology, site-specific linker, resistance biology, and safety signal. It frames the field around patient stratification, real-world evidence, translational biomarker, and clinical development.",2020,review-like mixed corpus,review,"Landscape review of HER3 targeting, site-specific conjugation, and antigen loss [SEP] This review connects surface biology, site-specific linker, resistance biology, and safety signal. It frames the field around patient stratification, real-world evidence, translational biomarker, and clinical development."
adc-landscape-r-0047,"Landscape review of HER3 targeting, site-specific conjugation, and antigen loss","This review connects internalization, conjugation chemistry, heterogeneity signal, and safety signal. It frames the field around portfolio review, mechanism of resistance, translational biomarker, and clinical development.",2020,review-like mixed corpus,review,"Landscape review of HER3 targeting, site-specific conjugation, and antigen loss [SEP] This review connects internalization, conjugation chemistry, heterogeneity signal, and safety signal. It frames the field around portfolio review, mechanism of resistance, translational biomarker, and clinical development."
adc-landscape-01-0045,Target biology for HER2 ADCs: study 45,"This study examines HER2 ADCs through surface biology, tumor heterogeneity, and selection rationale. It also discusses links to dose reduction and hematologic toxicity, alongside molecular profiling and patient stratification.",2022,Target biology,core,"Target biology for HER2 ADCs: study 45 [SEP] This study examines HER2 ADCs through surface biology, tumor heterogeneity, and selection rationale. It also discusses links to dose reduction and hematologic toxicity, alongside molecular profiling and patient stratification."
adc-landscape-01-0290,Target biology for TROP2 programs: study 290,"This study examines TROP2 programs through internalization, selection rationale, and antigen density. It also discusses links to processing defect and heterogeneity signal, alongside molecular profiling and translational biomarker.",2021,Target biology,core,"Target biology for TROP2 programs: study 290 [SEP] This study examines TROP2 programs through internalization, selection rationale, and antigen density. It also discusses links to processing defect and heterogeneity signal, alongside molecular profiling and translational biomarker."
adc-landscape-02-0413,Linker-payload optimization for topoisomerase payloads: study 413,"This study examines topoisomerase payloads through linker stability, bystander payload, and drug-antibody ratio. It also discusses links to translation risk and dose reduction, alongside real-world evidence and molecular profiling.",2025,Linker and payload,core,"Linker-payload optimization for topoisomerase payloads: study 413 [SEP] This study examines topoisomerase payloads through linker stability, bystander payload, and drug-antibody ratio. It also discusses links to translation risk and dose reduction, alongside real-world evidence and molecular profiling."
adc-landscape-x-0084,Integrated analysis of dose optimization with HER3 targeting: study 84,"This paper links clinical monitoring and safety signal to selection rationale and antigen density. The framing emphasizes validation cohort, portfolio review, and mechanism of resistance across mixed translational contexts.",2025,Safety translation + Target biology,crossover,"Integrated analysis of dose optimization with HER3 targeting: study 84 [SEP] This paper links clinical monitoring and safety signal to selection rationale and antigen density. The framing emphasizes validation cohort, portfolio review, and mechanism of resistance across mixed translational contexts."
adc-landscape-03-0361,Resistance mechanisms in antigen loss: study 361,"This study examines antigen loss through bystander killing, heterogeneity signal, and processing defect. It also discusses links to clinical monitoring and dose reduction, alongside clinical development and real-world evidence.",2022,Resistance and bystander,core,"Resistance mechanisms in antigen loss: study 361 [SEP] This study examines antigen loss through bystander killing, heterogeneity signal, and processing defect. It also discusses links to clinical monitoring and dose reduction, alongside clinical development and real-world evidence."
adc-landscape-r-0396,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect","This review connects selection rationale, bystander payload, payload efflux, and translation risk. It frames the field around early-phase trial, molecular profiling, portfolio review, and mechanism of resistance.",2021,review-like mixed corpus,review,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect [SEP] This review connects selection rationale, bystander payload, payload efflux, and translation risk. It frames the field around early-phase trial, molecular profiling, portfolio review, and mechanism of resistance."
adc-landscape-r-0104,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect","This review connects target expression, conjugation chemistry, lysosomal escape, and hematologic toxicity. It frames the field around early-phase trial, translational biomarker, molecular profiling, and mechanism of resistance.",2023,review-like mixed corpus,review,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect [SEP] This review connects target expression, conjugation chemistry, lysosomal escape, and hematologic toxicity. It frames the field around early-phase trial, translational biomarker, molecular profiling, and mechanism of resistance."
adc-landscape-03-0227,Resistance mechanisms in payload efflux: study 227,"This study examines payload efflux through heterogeneity signal, processing defect, and payload efflux. It also discusses links to internalization and antigen density, alongside real-world evidence and portfolio review.",2020,Resistance and bystander,core,"Resistance mechanisms in payload efflux: study 227 [SEP] This study examines payload efflux through heterogeneity signal, processing defect, and payload efflux. It also discusses links to internalization and antigen density, alongside real-world evidence and portfolio review."
adc-landscape-01-0297,Target biology for HER2 ADCs: study 297,"This study examines HER2 ADCs through surface biology, selection rationale, and internalization. It also discusses links to clinical monitoring and hematologic toxicity, alongside portfolio review and mechanism of resistance.",2022,Target biology,core,"Target biology for HER2 ADCs: study 297 [SEP] This study examines HER2 ADCs through surface biology, selection rationale, and internalization. It also discusses links to clinical monitoring and hematologic toxicity, alongside portfolio review and mechanism of resistance."
adc-landscape-03-0242,Resistance mechanisms in bystander effect: study 242,"This study examines bystander effect through processing defect, bystander killing, and payload efflux. It also discusses links to tumor heterogeneity and surface biology, alongside dose optimization and molecular profiling.",2023,Resistance and bystander,core,"Resistance mechanisms in bystander effect: study 242 [SEP] This study examines bystander effect through processing defect, bystander killing, and payload efflux. It also discusses links to tumor heterogeneity and surface biology, alongside dose optimization and molecular profiling."
adc-landscape-03-0006,Resistance mechanisms in bystander effect: study 6,"This study examines bystander effect through resistance biology, heterogeneity signal, and lysosomal escape. It also discusses links to conjugation chemistry and linker stability, alongside clinical development and real-world evidence.",2021,Resistance and bystander,core,"Resistance mechanisms in bystander effect: study 6 [SEP] This study examines bystander effect through resistance biology, heterogeneity signal, and lysosomal escape. It also discusses links to conjugation chemistry and linker stability, alongside clinical development and real-world evidence."
adc-landscape-04-0166,Clinical safety translation of ocular toxicity: study 166,"This study examines ocular toxicity through hematologic toxicity, clinical monitoring, and dose reduction. It also discusses links to selection rationale and surface biology, alongside clinical development and early-phase trial.",2020,Safety translation,core,"Clinical safety translation of ocular toxicity: study 166 [SEP] This study examines ocular toxicity through hematologic toxicity, clinical monitoring, and dose reduction. It also discusses links to selection rationale and surface biology, alongside clinical development and early-phase trial."
adc-landscape-02-0247,Linker-payload optimization for cleavable linkers: study 247,"This study examines cleavable linkers through drug-antibody ratio, payload release, and bystander payload. It also discusses links to lysosomal escape and processing defect, alongside dose optimization and clinical development.",2021,Linker and payload,core,"Linker-payload optimization for cleavable linkers: study 247 [SEP] This study examines cleavable linkers through drug-antibody ratio, payload release, and bystander payload. It also discusses links to lysosomal escape and processing defect, alongside dose optimization and clinical development."
adc-landscape-r-0352,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect","This review connects antigen density, linker stability, resistance biology, and safety signal. It frames the field around portfolio review, clinical development, real-world evidence, and molecular profiling.",2025,review-like mixed corpus,review,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect [SEP] This review connects antigen density, linker stability, resistance biology, and safety signal. It frames the field around portfolio review, clinical development, real-world evidence, and molecular profiling."
adc-landscape-01-0292,Target biology for LIV1 selection: study 292,"This study examines LIV1 selection through target expression, internalization, and tumor heterogeneity. It also discusses links to drug-antibody ratio and conjugation chemistry, alongside dose optimization and molecular profiling.",2023,Target biology,core,"Target biology for LIV1 selection: study 292 [SEP] This study examines LIV1 selection through target expression, internalization, and tumor heterogeneity. It also discusses links to drug-antibody ratio and conjugation chemistry, alongside dose optimization and molecular profiling."
adc-landscape-02-0282,Linker-payload optimization for tubulin payloads: study 282,"This study examines tubulin payloads through conjugation chemistry, linker stability, and drug-antibody ratio. It also discusses links to tumor heterogeneity and antigen density, alongside molecular profiling and clinical development.",2020,Linker and payload,core,"Linker-payload optimization for tubulin payloads: study 282 [SEP] This study examines tubulin payloads through conjugation chemistry, linker stability, and drug-antibody ratio. It also discusses links to tumor heterogeneity and antigen density, alongside molecular profiling and clinical development."
adc-landscape-x-0145,Integrated analysis of HER2 ADCs with topoisomerase payloads: study 145,"This paper links tumor heterogeneity and internalization to payload release and linker stability. The framing emphasizes early-phase trial, validation cohort, and mechanism of resistance across mixed translational contexts.",2020,Target biology + Linker and payload,crossover,"Integrated analysis of HER2 ADCs with topoisomerase payloads: study 145 [SEP] This paper links tumor heterogeneity and internalization to payload release and linker stability. The framing emphasizes early-phase trial, validation cohort, and mechanism of resistance across mixed translational contexts."
adc-landscape-01-0323,Target biology for HER3 targeting: study 323,"This study examines HER3 targeting through surface biology, internalization, and tumor heterogeneity. It also discusses links to lysosomal escape and processing defect, alongside clinical development and portfolio review.",2024,Target biology,core,"Target biology for HER3 targeting: study 323 [SEP] This study examines HER3 targeting through surface biology, internalization, and tumor heterogeneity. It also discusses links to lysosomal escape and processing defect, alongside clinical development and portfolio review."
adc-landscape-01-0299,Target biology for HER3 targeting: study 299,"This study examines HER3 targeting through internalization, selection rationale, and surface biology. It also discusses links to lysosomal escape and processing defect, alongside early-phase trial and patient stratification.",2024,Target biology,core,"Target biology for HER3 targeting: study 299 [SEP] This study examines HER3 targeting through internalization, selection rationale, and surface biology. It also discusses links to lysosomal escape and processing defect, alongside early-phase trial and patient stratification."
adc-landscape-03-0299,Resistance mechanisms in payload efflux: study 299,"This study examines payload efflux through bystander killing, lysosomal escape, and payload efflux. It also discusses links to surface biology and selection rationale, alongside early-phase trial and real-world evidence.",2020,Resistance and bystander,core,"Resistance mechanisms in payload efflux: study 299 [SEP] This study examines payload efflux through bystander killing, lysosomal escape, and payload efflux. It also discusses links to surface biology and selection rationale, alongside early-phase trial and real-world evidence."
adc-landscape-01-0195,Target biology for HER3 targeting: study 195,"This study examines HER3 targeting through internalization, antigen density, and surface biology. It also discusses links to safety signal and dose reduction, alongside real-world evidence and patient stratification.",2022,Target biology,core,"Target biology for HER3 targeting: study 195 [SEP] This study examines HER3 targeting through internalization, antigen density, and surface biology. It also discusses links to safety signal and dose reduction, alongside real-world evidence and patient stratification."
adc-landscape-01-0064,Target biology for LIV1 selection: study 64,"This study examines LIV1 selection through tumor heterogeneity, antigen density, and target expression. It also discusses links to payload release and linker stability, alongside molecular profiling and early-phase trial.",2023,Target biology,core,"Target biology for LIV1 selection: study 64 [SEP] This study examines LIV1 selection through tumor heterogeneity, antigen density, and target expression. It also discusses links to payload release and linker stability, alongside molecular profiling and early-phase trial."
adc-landscape-01-0394,Target biology for TROP2 programs: study 394,"This study examines TROP2 programs through target expression, tumor heterogeneity, and antigen density. It also discusses links to site-specific linker and payload release, alongside early-phase trial and real-world evidence.",2023,Target biology,core,"Target biology for TROP2 programs: study 394 [SEP] This study examines TROP2 programs through target expression, tumor heterogeneity, and antigen density. It also discusses links to site-specific linker and payload release, alongside early-phase trial and real-world evidence."
adc-landscape-02-0228,Linker-payload optimization for site-specific conjugation: study 228,"This study examines site-specific conjugation through bystander payload, payload release, and site-specific linker. It also discusses links to selection rationale and target expression, alongside mechanism of resistance and translational biomarker.",2020,Linker and payload,core,"Linker-payload optimization for site-specific conjugation: study 228 [SEP] This study examines site-specific conjugation through bystander payload, payload release, and site-specific linker. It also discusses links to selection rationale and target expression, alongside mechanism of resistance and translational biomarker."
adc-landscape-04-0084,Clinical safety translation of dose optimization: study 84,"This study examines dose optimization through safety signal, dose reduction, and lung toxicity. It also discusses links to bystander killing and lysosomal escape, alongside mechanism of resistance and patient stratification.",2022,Safety translation,core,"Clinical safety translation of dose optimization: study 84 [SEP] This study examines dose optimization through safety signal, dose reduction, and lung toxicity. It also discusses links to bystander killing and lysosomal escape, alongside mechanism of resistance and patient stratification."
adc-landscape-04-0048,Clinical safety translation of dose optimization: study 48,"This study examines dose optimization through clinical monitoring, safety signal, and lung toxicity. It also discusses links to processing defect and bystander killing, alongside portfolio review and real-world evidence.",2022,Safety translation,core,"Clinical safety translation of dose optimization: study 48 [SEP] This study examines dose optimization through clinical monitoring, safety signal, and lung toxicity. It also discusses links to processing defect and bystander killing, alongside portfolio review and real-world evidence."
adc-landscape-x-0426,Integrated analysis of tubulin payloads with payload efflux: study 426,"This paper links bystander payload and drug-antibody ratio to processing defect and lysosomal escape. The framing emphasizes mechanism of resistance, portfolio review, and patient stratification across mixed translational contexts.",2025,Linker and payload + Resistance and bystander,crossover,"Integrated analysis of tubulin payloads with payload efflux: study 426 [SEP] This paper links bystander payload and drug-antibody ratio to processing defect and lysosomal escape. The framing emphasizes mechanism of resistance, portfolio review, and patient stratification across mixed translational contexts."
adc-landscape-01-0015,Target biology for HER3 targeting: study 15,"This study examines HER3 targeting through surface biology, selection rationale, and internalization. It also discusses links to lung toxicity and translation risk, alongside translational biomarker and patient stratification.",2022,Target biology,core,"Target biology for HER3 targeting: study 15 [SEP] This study examines HER3 targeting through surface biology, selection rationale, and internalization. It also discusses links to lung toxicity and translation risk, alongside translational biomarker and patient stratification."
adc-landscape-r-0068,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect","This review connects surface biology, linker stability, resistance biology, and lung toxicity. It frames the field around early-phase trial, real-world evidence, patient stratification, and validation cohort.",2023,review-like mixed corpus,review,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect [SEP] This review connects surface biology, linker stability, resistance biology, and lung toxicity. It frames the field around early-phase trial, real-world evidence, patient stratification, and validation cohort."
adc-landscape-04-0101,Clinical safety translation of interstitial lung disease: study 101,"This study examines interstitial lung disease through translation risk, dose reduction, and hematologic toxicity. It also discusses links to bystander payload and conjugation chemistry, alongside early-phase trial and portfolio review.",2021,Safety translation,core,"Clinical safety translation of interstitial lung disease: study 101 [SEP] This study examines interstitial lung disease through translation risk, dose reduction, and hematologic toxicity. It also discusses links to bystander payload and conjugation chemistry, alongside early-phase trial and portfolio review."
adc-landscape-03-0091,Resistance mechanisms in payload efflux: study 91,"This study examines payload efflux through heterogeneity signal, payload efflux, and bystander killing. It also discusses links to safety signal and hematologic toxicity, alongside validation cohort and early-phase trial.",2022,Resistance and bystander,core,"Resistance mechanisms in payload efflux: study 91 [SEP] This study examines payload efflux through heterogeneity signal, payload efflux, and bystander killing. It also discusses links to safety signal and hematologic toxicity, alongside validation cohort and early-phase trial."
adc-landscape-x-0112,Integrated analysis of dose optimization with HER3 targeting: study 112,"This paper links hematologic toxicity and safety signal to antigen density and tumor heterogeneity. The framing emphasizes real-world evidence, mechanism of resistance, and translational biomarker across mixed translational contexts.",2023,Safety translation + Target biology,crossover,"Integrated analysis of dose optimization with HER3 targeting: study 112 [SEP] This paper links hematologic toxicity and safety signal to antigen density and tumor heterogeneity. The framing emphasizes real-world evidence, mechanism of resistance, and translational biomarker across mixed translational contexts."
adc-landscape-01-0204,Target biology for LIV1 selection: study 204,"This study examines LIV1 selection through surface biology, tumor heterogeneity, and target expression. It also discusses links to translation risk and lung toxicity, alongside portfolio review and validation cohort.",2025,Target biology,core,"Target biology for LIV1 selection: study 204 [SEP] This study examines LIV1 selection through surface biology, tumor heterogeneity, and target expression. It also discusses links to translation risk and lung toxicity, alongside portfolio review and validation cohort."
adc-landscape-x-0419,Integrated analysis of payload efflux with interstitial lung disease: study 419,"This paper links lysosomal escape and resistance biology to lung toxicity and translation risk. The framing emphasizes dose optimization, early-phase trial, and patient stratification across mixed translational contexts.",2024,Resistance and bystander + Safety translation,crossover,"Integrated analysis of payload efflux with interstitial lung disease: study 419 [SEP] This paper links lysosomal escape and resistance biology to lung toxicity and translation risk. The framing emphasizes dose optimization, early-phase trial, and patient stratification across mixed translational contexts."
adc-landscape-01-0153,Target biology for HER2 ADCs: study 153,"This study examines HER2 ADCs through target expression, internalization, and tumor heterogeneity. It also discusses links to lung toxicity and translation risk, alongside translational biomarker and patient stratification.",2022,Target biology,core,"Target biology for HER2 ADCs: study 153 [SEP] This study examines HER2 ADCs through target expression, internalization, and tumor heterogeneity. It also discusses links to lung toxicity and translation risk, alongside translational biomarker and patient stratification."
adc-landscape-r-0402,"Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing","This review connects antigen density, site-specific linker, resistance biology, and hematologic toxicity. It frames the field around molecular profiling, patient stratification, validation cohort, and translational biomarker.",2021,review-like mixed corpus,review,"Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing [SEP] This review connects antigen density, site-specific linker, resistance biology, and hematologic toxicity. It frames the field around molecular profiling, patient stratification, validation cohort, and translational biomarker."
adc-landscape-03-0360,Resistance mechanisms in lysosomal processing: study 360,"This study examines lysosomal processing through bystander killing, payload efflux, and lysosomal escape. It also discusses links to drug-antibody ratio and linker stability, alongside portfolio review and patient stratification.",2021,Resistance and bystander,core,"Resistance mechanisms in lysosomal processing: study 360 [SEP] This study examines lysosomal processing through bystander killing, payload efflux, and lysosomal escape. It also discusses links to drug-antibody ratio and linker stability, alongside portfolio review and patient stratification."
adc-landscape-02-0273,Linker-payload optimization for topoisomerase payloads: study 273,"This study examines topoisomerase payloads through site-specific linker, conjugation chemistry, and bystander payload. It also discusses links to target expression and surface biology, alongside real-world evidence and clinical development.",2023,Linker and payload,core,"Linker-payload optimization for topoisomerase payloads: study 273 [SEP] This study examines topoisomerase payloads through site-specific linker, conjugation chemistry, and bystander payload. It also discusses links to target expression and surface biology, alongside real-world evidence and clinical development."
adc-landscape-r-0179,"Landscape review of HER3 targeting, site-specific conjugation, and antigen loss","This review connects tumor heterogeneity, site-specific linker, bystander killing, and translation risk. It frames the field around mechanism of resistance, clinical development, dose optimization, and molecular profiling.",2020,review-like mixed corpus,review,"Landscape review of HER3 targeting, site-specific conjugation, and antigen loss [SEP] This review connects tumor heterogeneity, site-specific linker, bystander killing, and translation risk. It frames the field around mechanism of resistance, clinical development, dose optimization, and molecular profiling."
adc-landscape-03-0002,Resistance mechanisms in bystander effect: study 2,"This study examines bystander effect through bystander killing, lysosomal escape, and processing defect. It also discusses links to antigen density and target expression, alongside patient stratification and mechanism of resistance.",2023,Resistance and bystander,core,"Resistance mechanisms in bystander effect: study 2 [SEP] This study examines bystander effect through bystander killing, lysosomal escape, and processing defect. It also discusses links to antigen density and target expression, alongside patient stratification and mechanism of resistance."
adc-landscape-02-0219,Linker-payload optimization for cleavable linkers: study 219,"This study examines cleavable linkers through payload release, bystander payload, and drug-antibody ratio. It also discusses links to surface biology and selection rationale, alongside real-world evidence and validation cohort.",2023,Linker and payload,core,"Linker-payload optimization for cleavable linkers: study 219 [SEP] This study examines cleavable linkers through payload release, bystander payload, and drug-antibody ratio. It also discusses links to surface biology and selection rationale, alongside real-world evidence and validation cohort."
adc-landscape-02-0113,Linker-payload optimization for topoisomerase payloads: study 113,"This study examines topoisomerase payloads through drug-antibody ratio, site-specific linker, and payload release. It also discusses links to hematologic toxicity and safety signal, alongside portfolio review and early-phase trial.",2025,Linker and payload,core,"Linker-payload optimization for topoisomerase payloads: study 113 [SEP] This study examines topoisomerase payloads through drug-antibody ratio, site-specific linker, and payload release. It also discusses links to hematologic toxicity and safety signal, alongside portfolio review and early-phase trial."
adc-landscape-02-0343,Linker-payload optimization for cleavable linkers: study 343,"This study examines cleavable linkers through site-specific linker, drug-antibody ratio, and payload release. It also discusses links to bystander killing and payload efflux, alongside real-world evidence and molecular profiling.",2021,Linker and payload,core,"Linker-payload optimization for cleavable linkers: study 343 [SEP] This study examines cleavable linkers through site-specific linker, drug-antibody ratio, and payload release. It also discusses links to bystander killing and payload efflux, alongside real-world evidence and molecular profiling."
adc-landscape-01-0267,Target biology for HER3 targeting: study 267,"This study examines HER3 targeting through surface biology, selection rationale, and tumor heterogeneity. It also discusses links to clinical monitoring and hematologic toxicity, alongside dose optimization and portfolio review.",2022,Target biology,core,"Target biology for HER3 targeting: study 267 [SEP] This study examines HER3 targeting through surface biology, selection rationale, and tumor heterogeneity. It also discusses links to clinical monitoring and hematologic toxicity, alongside dose optimization and portfolio review."
adc-landscape-01-0052,Target biology for LIV1 selection: study 52,"This study examines LIV1 selection through selection rationale, antigen density, and tumor heterogeneity. It also discusses links to payload release and conjugation chemistry, alongside early-phase trial and mechanism of resistance.",2023,Target biology,core,"Target biology for LIV1 selection: study 52 [SEP] This study examines LIV1 selection through selection rationale, antigen density, and tumor heterogeneity. It also discusses links to payload release and conjugation chemistry, alongside early-phase trial and mechanism of resistance."
