record_id,title,abstract,year,seed_theme,record_type,text_for_embedding
lung-cancer-01-0473,Resistance evolution in EGFR-mutant disease: study 473,"This study examines EGFR-mutant disease through line-of-therapy shift, EGFR resistance, and acquired resistance. It also discusses links to checkpoint response and immune exclusion, alongside molecular profiling and dose optimization.",2024,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 473 [SEP] This study examines EGFR-mutant disease through line-of-therapy shift, EGFR resistance, and acquired resistance. It also discusses links to checkpoint response and immune exclusion, alongside molecular profiling and dose optimization."
lung-cancer-r-0239,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors","This review connects EGFR resistance, SHP2 biology, PD-L1 biomarker, and molecular monitoring. It frames the field around patient stratification, mechanism of resistance, validation cohort, and dose optimization.",2020,review-like mixed corpus,review,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors [SEP] This review connects EGFR resistance, SHP2 biology, PD-L1 biomarker, and molecular monitoring. It frames the field around patient stratification, mechanism of resistance, validation cohort, and dose optimization."
lung-cancer-r-0047,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors","This review connects targeted escape, feedback signaling, PD-L1 biomarker, and liquid biopsy. It frames the field around validation cohort, portfolio review, clinical development, and translational biomarker.",2020,review-like mixed corpus,review,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors [SEP] This review connects targeted escape, feedback signaling, PD-L1 biomarker, and liquid biopsy. It frames the field around validation cohort, portfolio review, clinical development, and translational biomarker."
lung-cancer-01-0045,Resistance evolution in EGFR-mutant disease: study 45,"This study examines EGFR-mutant disease through line-of-therapy shift, targeted escape, and acquired resistance. It also discusses links to liquid biopsy and ctDNA surveillance, alongside portfolio review and molecular profiling.",2022,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 45 [SEP] This study examines EGFR-mutant disease through line-of-therapy shift, targeted escape, and acquired resistance. It also discusses links to liquid biopsy and ctDNA surveillance, alongside portfolio review and molecular profiling."
lung-cancer-01-0290,Resistance evolution in ALK-positive tumors: study 290,"This study examines ALK-positive tumors through acquired resistance, ALK progression, and targeted escape. It also discusses links to selection logic and co-mutation effect, alongside clinical development and patient stratification.",2021,EGFR and ALK resistance,core,"Resistance evolution in ALK-positive tumors: study 290 [SEP] This study examines ALK-positive tumors through acquired resistance, ALK progression, and targeted escape. It also discusses links to selection logic and co-mutation effect, alongside clinical development and patient stratification."
lung-cancer-02-0413,KRAS pathway development in KRAS G12C inhibition: study 413,"This study examines KRAS G12C inhibition through SHP2 biology, KRAS inhibitor, and adaptive pathway. It also discusses links to residual disease and molecular monitoring, alongside molecular profiling and dose optimization.",2025,KRAS development,core,"KRAS pathway development in KRAS G12C inhibition: study 413 [SEP] This study examines KRAS G12C inhibition through SHP2 biology, KRAS inhibitor, and adaptive pathway. It also discusses links to residual disease and molecular monitoring, alongside molecular profiling and dose optimization."
lung-cancer-x-0084,Integrated analysis of longitudinal plasma genotyping with osimertinib escape: study 84,"This paper links plasma genotyping and longitudinal sampling to EGFR resistance and acquired resistance. The framing emphasizes real-world evidence, dose optimization, and validation cohort across mixed translational contexts.",2025,ctDNA and monitoring + EGFR and ALK resistance,crossover,"Integrated analysis of longitudinal plasma genotyping with osimertinib escape: study 84 [SEP] This paper links plasma genotyping and longitudinal sampling to EGFR resistance and acquired resistance. The framing emphasizes real-world evidence, dose optimization, and validation cohort across mixed translational contexts."
lung-cancer-03-0361,Biomarker selection in PD-L1-high tumors: study 361,"This study examines PD-L1-high tumors through immune exclusion, checkpoint response, and selection logic. It also discusses links to longitudinal sampling and liquid biopsy, alongside translational biomarker and portfolio review.",2022,Immunotherapy biomarkers,core,"Biomarker selection in PD-L1-high tumors: study 361 [SEP] This study examines PD-L1-high tumors through immune exclusion, checkpoint response, and selection logic. It also discusses links to longitudinal sampling and liquid biopsy, alongside translational biomarker and portfolio review."
lung-cancer-r-0396,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects CNS metastasis, combination rationale, checkpoint response, and plasma genotyping. It frames the field around validation cohort, mechanism of resistance, patient stratification, and clinical development.",2021,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects CNS metastasis, combination rationale, checkpoint response, and plasma genotyping. It frames the field around validation cohort, mechanism of resistance, patient stratification, and clinical development."
lung-cancer-r-0104,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects acquired resistance, development strategy, immune exclusion, and ctDNA surveillance. It frames the field around clinical development, translational biomarker, mechanism of resistance, and portfolio review.",2023,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects acquired resistance, development strategy, immune exclusion, and ctDNA surveillance. It frames the field around clinical development, translational biomarker, mechanism of resistance, and portfolio review."
lung-cancer-03-0227,Biomarker selection in STK11 co-mutation: study 227,"This study examines STK11 co-mutation through checkpoint response, PD-L1 biomarker, and selection logic. It also discusses links to targeted escape and EGFR resistance, alongside portfolio review and patient stratification.",2020,Immunotherapy biomarkers,core,"Biomarker selection in STK11 co-mutation: study 227 [SEP] This study examines STK11 co-mutation through checkpoint response, PD-L1 biomarker, and selection logic. It also discusses links to targeted escape and EGFR resistance, alongside portfolio review and patient stratification."
lung-cancer-01-0297,Resistance evolution in EGFR-mutant disease: study 297,"This study examines EGFR-mutant disease through targeted escape, CNS metastasis, and acquired resistance. It also discusses links to longitudinal sampling and residual disease, alongside patient stratification and translational biomarker.",2022,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 297 [SEP] This study examines EGFR-mutant disease through targeted escape, CNS metastasis, and acquired resistance. It also discusses links to longitudinal sampling and residual disease, alongside patient stratification and translational biomarker."
lung-cancer-03-0242,Biomarker selection in tumor mutational burden: study 242,"This study examines tumor mutational burden through tumor mutational burden, immune exclusion, and checkpoint response. It also discusses links to ALK progression and EGFR resistance, alongside real-world evidence and patient stratification.",2023,Immunotherapy biomarkers,core,"Biomarker selection in tumor mutational burden: study 242 [SEP] This study examines tumor mutational burden through tumor mutational burden, immune exclusion, and checkpoint response. It also discusses links to ALK progression and EGFR resistance, alongside real-world evidence and patient stratification."
lung-cancer-03-0006,Biomarker selection in tumor mutational burden: study 6,"This study examines tumor mutational burden through checkpoint response, co-mutation effect, and selection logic. It also discusses links to adaptive pathway and combination rationale, alongside molecular profiling and early-phase trial.",2021,Immunotherapy biomarkers,core,"Biomarker selection in tumor mutational burden: study 6 [SEP] This study examines tumor mutational burden through checkpoint response, co-mutation effect, and selection logic. It also discusses links to adaptive pathway and combination rationale, alongside molecular profiling and early-phase trial."
lung-cancer-04-0166,Molecular monitoring for minimal residual disease: study 166,"This study examines minimal residual disease through ctDNA surveillance, plasma genotyping, and longitudinal sampling. It also discusses links to line-of-therapy shift and ALK progression, alongside real-world evidence and dose optimization.",2020,ctDNA and monitoring,core,"Molecular monitoring for minimal residual disease: study 166 [SEP] This study examines minimal residual disease through ctDNA surveillance, plasma genotyping, and longitudinal sampling. It also discusses links to line-of-therapy shift and ALK progression, alongside real-world evidence and dose optimization."
lung-cancer-02-0247,KRAS pathway development in SHP2 combinations: study 247,"This study examines SHP2 combinations through adaptive pathway, feedback signaling, and KRAS inhibitor. It also discusses links to PD-L1 biomarker and tumor mutational burden, alongside validation cohort and molecular profiling.",2021,KRAS development,core,"KRAS pathway development in SHP2 combinations: study 247 [SEP] This study examines SHP2 combinations through adaptive pathway, feedback signaling, and KRAS inhibitor. It also discusses links to PD-L1 biomarker and tumor mutational burden, alongside validation cohort and molecular profiling."
lung-cancer-r-0352,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects line-of-therapy shift, development strategy, selection logic, and liquid biopsy. It frames the field around real-world evidence, dose optimization, portfolio review, and validation cohort.",2025,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects line-of-therapy shift, development strategy, selection logic, and liquid biopsy. It frames the field around real-world evidence, dose optimization, portfolio review, and validation cohort."
lung-cancer-01-0292,Resistance evolution in CNS progression: study 292,"This study examines CNS progression through targeted escape, CNS metastasis, and EGFR resistance. It also discusses links to combination rationale and adaptive pathway, alongside dose optimization and validation cohort.",2023,EGFR and ALK resistance,core,"Resistance evolution in CNS progression: study 292 [SEP] This study examines CNS progression through targeted escape, CNS metastasis, and EGFR resistance. It also discusses links to combination rationale and adaptive pathway, alongside dose optimization and validation cohort."
lung-cancer-02-0282,KRAS pathway development in adaptive signaling: study 282,"This study examines adaptive signaling through combination rationale, KRAS inhibitor, and adaptive pathway. It also discusses links to ALK progression and CNS metastasis, alongside mechanism of resistance and portfolio review.",2020,KRAS development,core,"KRAS pathway development in adaptive signaling: study 282 [SEP] This study examines adaptive signaling through combination rationale, KRAS inhibitor, and adaptive pathway. It also discusses links to ALK progression and CNS metastasis, alongside mechanism of resistance and portfolio review."
lung-cancer-x-0145,Integrated analysis of EGFR-mutant disease with KRAS G12C inhibition: study 145,"This paper links CNS metastasis and targeted escape to adaptive pathway and SHP2 biology. The framing emphasizes mechanism of resistance, early-phase trial, and real-world evidence across mixed translational contexts.",2020,EGFR and ALK resistance + KRAS development,crossover,"Integrated analysis of EGFR-mutant disease with KRAS G12C inhibition: study 145 [SEP] This paper links CNS metastasis and targeted escape to adaptive pathway and SHP2 biology. The framing emphasizes mechanism of resistance, early-phase trial, and real-world evidence across mixed translational contexts."
lung-cancer-01-0323,Resistance evolution in osimertinib escape: study 323,"This study examines osimertinib escape through line-of-therapy shift, acquired resistance, and EGFR resistance. It also discusses links to checkpoint response and immune exclusion, alongside portfolio review and dose optimization.",2024,EGFR and ALK resistance,core,"Resistance evolution in osimertinib escape: study 323 [SEP] This study examines osimertinib escape through line-of-therapy shift, acquired resistance, and EGFR resistance. It also discusses links to checkpoint response and immune exclusion, alongside portfolio review and dose optimization."
lung-cancer-01-0299,Resistance evolution in osimertinib escape: study 299,"This study examines osimertinib escape through targeted escape, CNS metastasis, and line-of-therapy shift. It also discusses links to co-mutation effect and immune exclusion, alongside dose optimization and translational biomarker.",2024,EGFR and ALK resistance,core,"Resistance evolution in osimertinib escape: study 299 [SEP] This study examines osimertinib escape through targeted escape, CNS metastasis, and line-of-therapy shift. It also discusses links to co-mutation effect and immune exclusion, alongside dose optimization and translational biomarker."
lung-cancer-03-0299,Biomarker selection in STK11 co-mutation: study 299,"This study examines STK11 co-mutation through tumor mutational burden, checkpoint response, and PD-L1 biomarker. It also discusses links to acquired resistance and CNS metastasis, alongside validation cohort and portfolio review.",2020,Immunotherapy biomarkers,core,"Biomarker selection in STK11 co-mutation: study 299 [SEP] This study examines STK11 co-mutation through tumor mutational burden, checkpoint response, and PD-L1 biomarker. It also discusses links to acquired resistance and CNS metastasis, alongside validation cohort and portfolio review."
lung-cancer-01-0195,Resistance evolution in osimertinib escape: study 195,"This study examines osimertinib escape through CNS metastasis, acquired resistance, and targeted escape. It also discusses links to molecular monitoring and ctDNA surveillance, alongside dose optimization and real-world evidence.",2022,EGFR and ALK resistance,core,"Resistance evolution in osimertinib escape: study 195 [SEP] This study examines osimertinib escape through CNS metastasis, acquired resistance, and targeted escape. It also discusses links to molecular monitoring and ctDNA surveillance, alongside dose optimization and real-world evidence."
lung-cancer-01-0064,Resistance evolution in CNS progression: study 64,"This study examines CNS progression through EGFR resistance, ALK progression, and targeted escape. It also discusses links to adaptive pathway and KRAS inhibitor, alongside early-phase trial and dose optimization.",2023,EGFR and ALK resistance,core,"Resistance evolution in CNS progression: study 64 [SEP] This study examines CNS progression through EGFR resistance, ALK progression, and targeted escape. It also discusses links to adaptive pathway and KRAS inhibitor, alongside early-phase trial and dose optimization."
lung-cancer-01-0394,Resistance evolution in ALK-positive tumors: study 394,"This study examines ALK-positive tumors through targeted escape, EGFR resistance, and line-of-therapy shift. It also discusses links to KRAS inhibitor and adaptive pathway, alongside patient stratification and early-phase trial.",2023,EGFR and ALK resistance,core,"Resistance evolution in ALK-positive tumors: study 394 [SEP] This study examines ALK-positive tumors through targeted escape, EGFR resistance, and line-of-therapy shift. It also discusses links to KRAS inhibitor and adaptive pathway, alongside patient stratification and early-phase trial."
lung-cancer-02-0228,KRAS pathway development in pan-KRAS strategies: study 228,"This study examines pan-KRAS strategies through SHP2 biology, KRAS inhibitor, and combination rationale. It also discusses links to line-of-therapy shift and CNS metastasis, alongside validation cohort and dose optimization.",2020,KRAS development,core,"KRAS pathway development in pan-KRAS strategies: study 228 [SEP] This study examines pan-KRAS strategies through SHP2 biology, KRAS inhibitor, and combination rationale. It also discusses links to line-of-therapy shift and CNS metastasis, alongside validation cohort and dose optimization."
lung-cancer-04-0084,Molecular monitoring for longitudinal plasma genotyping: study 84,"This study examines longitudinal plasma genotyping through liquid biopsy, molecular monitoring, and plasma genotyping. It also discusses links to PD-L1 biomarker and tumor mutational burden, alongside dose optimization and mechanism of resistance.",2022,ctDNA and monitoring,core,"Molecular monitoring for longitudinal plasma genotyping: study 84 [SEP] This study examines longitudinal plasma genotyping through liquid biopsy, molecular monitoring, and plasma genotyping. It also discusses links to PD-L1 biomarker and tumor mutational burden, alongside dose optimization and mechanism of resistance."
lung-cancer-04-0048,Molecular monitoring for longitudinal plasma genotyping: study 48,"This study examines longitudinal plasma genotyping through ctDNA surveillance, residual disease, and molecular monitoring. It also discusses links to co-mutation effect and tumor mutational burden, alongside clinical development and real-world evidence.",2022,ctDNA and monitoring,core,"Molecular monitoring for longitudinal plasma genotyping: study 48 [SEP] This study examines longitudinal plasma genotyping through ctDNA surveillance, residual disease, and molecular monitoring. It also discusses links to co-mutation effect and tumor mutational burden, alongside clinical development and real-world evidence."
lung-cancer-x-0426,Integrated analysis of adaptive signaling with STK11 co-mutation: study 426,"This paper links KRAS inhibitor and SHP2 biology to selection logic and co-mutation effect. The framing emphasizes translational biomarker, molecular profiling, and validation cohort across mixed translational contexts.",2025,KRAS development + Immunotherapy biomarkers,crossover,"Integrated analysis of adaptive signaling with STK11 co-mutation: study 426 [SEP] This paper links KRAS inhibitor and SHP2 biology to selection logic and co-mutation effect. The framing emphasizes translational biomarker, molecular profiling, and validation cohort across mixed translational contexts."
lung-cancer-01-0015,Resistance evolution in osimertinib escape: study 15,"This study examines osimertinib escape through targeted escape, CNS metastasis, and line-of-therapy shift. It also discusses links to longitudinal sampling and ctDNA surveillance, alongside mechanism of resistance and validation cohort.",2022,EGFR and ALK resistance,core,"Resistance evolution in osimertinib escape: study 15 [SEP] This study examines osimertinib escape through targeted escape, CNS metastasis, and line-of-therapy shift. It also discusses links to longitudinal sampling and ctDNA surveillance, alongside mechanism of resistance and validation cohort."
lung-cancer-r-0068,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects ALK progression, feedback signaling, immune exclusion, and plasma genotyping. It frames the field around molecular profiling, clinical development, mechanism of resistance, and dose optimization.",2023,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects ALK progression, feedback signaling, immune exclusion, and plasma genotyping. It frames the field around molecular profiling, clinical development, mechanism of resistance, and dose optimization."
lung-cancer-04-0101,Molecular monitoring for ctDNA resistance tracking: study 101,"This study examines ctDNA resistance tracking through plasma genotyping, residual disease, and liquid biopsy. It also discusses links to adaptive pathway and feedback signaling, alongside mechanism of resistance and molecular profiling.",2021,ctDNA and monitoring,core,"Molecular monitoring for ctDNA resistance tracking: study 101 [SEP] This study examines ctDNA resistance tracking through plasma genotyping, residual disease, and liquid biopsy. It also discusses links to adaptive pathway and feedback signaling, alongside mechanism of resistance and molecular profiling."
lung-cancer-03-0091,Biomarker selection in STK11 co-mutation: study 91,"This study examines STK11 co-mutation through immune exclusion, checkpoint response, and co-mutation effect. It also discusses links to longitudinal sampling and molecular monitoring, alongside dose optimization and portfolio review.",2022,Immunotherapy biomarkers,core,"Biomarker selection in STK11 co-mutation: study 91 [SEP] This study examines STK11 co-mutation through immune exclusion, checkpoint response, and co-mutation effect. It also discusses links to longitudinal sampling and molecular monitoring, alongside dose optimization and portfolio review."
lung-cancer-x-0112,Integrated analysis of longitudinal plasma genotyping with osimertinib escape: study 112,"This paper links molecular monitoring and ctDNA surveillance to acquired resistance and line-of-therapy shift. The framing emphasizes clinical development, molecular profiling, and patient stratification across mixed translational contexts.",2023,ctDNA and monitoring + EGFR and ALK resistance,crossover,"Integrated analysis of longitudinal plasma genotyping with osimertinib escape: study 112 [SEP] This paper links molecular monitoring and ctDNA surveillance to acquired resistance and line-of-therapy shift. The framing emphasizes clinical development, molecular profiling, and patient stratification across mixed translational contexts."
lung-cancer-01-0204,Resistance evolution in CNS progression: study 204,"This study examines CNS progression through acquired resistance, EGFR resistance, and line-of-therapy shift. It also discusses links to molecular monitoring and longitudinal sampling, alongside translational biomarker and real-world evidence.",2025,EGFR and ALK resistance,core,"Resistance evolution in CNS progression: study 204 [SEP] This study examines CNS progression through acquired resistance, EGFR resistance, and line-of-therapy shift. It also discusses links to molecular monitoring and longitudinal sampling, alongside translational biomarker and real-world evidence."
lung-cancer-x-0419,Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 419,"This paper links immune exclusion and selection logic to longitudinal sampling and liquid biopsy. The framing emphasizes dose optimization, early-phase trial, and molecular profiling across mixed translational contexts.",2024,Immunotherapy biomarkers + ctDNA and monitoring,crossover,"Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 419 [SEP] This paper links immune exclusion and selection logic to longitudinal sampling and liquid biopsy. The framing emphasizes dose optimization, early-phase trial, and molecular profiling across mixed translational contexts."
lung-cancer-01-0153,Resistance evolution in EGFR-mutant disease: study 153,"This study examines EGFR-mutant disease through ALK progression, targeted escape, and CNS metastasis. It also discusses links to residual disease and longitudinal sampling, alongside dose optimization and patient stratification.",2022,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 153 [SEP] This study examines EGFR-mutant disease through ALK progression, targeted escape, and CNS metastasis. It also discusses links to residual disease and longitudinal sampling, alongside dose optimization and patient stratification."
lung-cancer-r-0402,"Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion","This review connects acquired resistance, KRAS inhibitor, checkpoint response, and residual disease. It frames the field around portfolio review, mechanism of resistance, validation cohort, and dose optimization.",2021,review-like mixed corpus,review,"Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion [SEP] This review connects acquired resistance, KRAS inhibitor, checkpoint response, and residual disease. It frames the field around portfolio review, mechanism of resistance, validation cohort, and dose optimization."
lung-cancer-03-0360,Biomarker selection in immune exclusion: study 360,"This study examines immune exclusion through tumor mutational burden, checkpoint response, and immune exclusion. It also discusses links to KRAS inhibitor and combination rationale, alongside early-phase trial and patient stratification.",2021,Immunotherapy biomarkers,core,"Biomarker selection in immune exclusion: study 360 [SEP] This study examines immune exclusion through tumor mutational burden, checkpoint response, and immune exclusion. It also discusses links to KRAS inhibitor and combination rationale, alongside early-phase trial and patient stratification."
lung-cancer-02-0273,KRAS pathway development in KRAS G12C inhibition: study 273,"This study examines KRAS G12C inhibition through feedback signaling, combination rationale, and KRAS inhibitor. It also discusses links to EGFR resistance and targeted escape, alongside patient stratification and dose optimization.",2023,KRAS development,core,"KRAS pathway development in KRAS G12C inhibition: study 273 [SEP] This study examines KRAS G12C inhibition through feedback signaling, combination rationale, and KRAS inhibitor. It also discusses links to EGFR resistance and targeted escape, alongside patient stratification and dose optimization."
