record_id,title,abstract,year,seed_theme,record_type,text_for_embedding,original_cluster_id,cluster,probability,cluster_display,cluster_theme,pc1_plot,pc2_plot,pc1_cluster,pc2_cluster,pc3_cluster,pc4_cluster
cancer-immunotherapy-x-0255,Integrated analysis of neoantigen vaccination with colitis: study 255,"This paper links priming effect and treatment sequence to toxicity grading and immune-related adverse event. The framing emphasizes validation cohort, dose optimization, and translational biomarker across mixed translational contexts.",2022,Combination strategy + Toxicity management,crossover,"Integrated analysis of neoantigen vaccination with colitis: study 255 [SEP] This paper links priming effect and treatment sequence to toxicity grading and immune-related adverse event. The framing emphasizes validation cohort, dose optimization, and translational biomarker across mixed translational contexts.",21,22,1.0,Cluster 22,Bridge: Microenvironment profiling x Combination strategy,-0.09350203307399908,0.4052869130440205,-0.09350203307399908,0.4052869130440205,0.03333491069198455,0.08407195383714053
cancer-immunotherapy-01-0053,Biomarker mapping for PD-1 response: study 53,"This study examines PD-1 response through predictive assay, response stratification, and immune exclusion. It also discusses links to priming effect and adaptive resistance, alongside validation cohort and molecular profiling.",2024,Checkpoint biomarkers,core,"Biomarker mapping for PD-1 response: study 53 [SEP] This study examines PD-1 response through predictive assay, response stratification, and immune exclusion. It also discusses links to priming effect and adaptive resistance, alongside validation cohort and molecular profiling.",17,18,1.0,Cluster 18,Checkpoint biomarkers,-0.011222067902681702,-0.01566067915986584,-0.011222067902681702,-0.01566067915986584,-0.06076321949512494,-0.16831481656308325
cancer-immunotherapy-02-0145,Spatial and single-cell profiling of immune niches: study 145,"This study examines immune niches through tissue architecture, spatial atlas, and myeloid state. It also discusses links to treatment sequence and adaptive resistance, alongside patient stratification and mechanism of resistance.",2021,Microenvironment profiling,core,"Spatial and single-cell profiling of immune niches: study 145 [SEP] This study examines immune niches through tissue architecture, spatial atlas, and myeloid state. It also discusses links to treatment sequence and adaptive resistance, alongside patient stratification and mechanism of resistance.",15,16,0.9701559685197906,Cluster 16,Microenvironment profiling,-0.08265648107775213,-0.16655347472511395,-0.08265648107775213,-0.16655347472511395,0.27982918690096065,0.04624826696602115
cancer-immunotherapy-04-0264,Management of immune-related endocrinopathies: study 264,"This study examines endocrinopathies through toxicity grading, immune-related adverse event, and rechallenge strategy. It also discusses links to priming effect and treatment sequence, alongside real-world evidence and molecular profiling.",2022,Toxicity management,core,"Management of immune-related endocrinopathies: study 264 [SEP] This study examines endocrinopathies through toxicity grading, immune-related adverse event, and rechallenge strategy. It also discusses links to priming effect and treatment sequence, alongside real-world evidence and molecular profiling.",13,14,0.9924850202246718,Cluster 14,Toxicity management,-0.2383134936604806,-0.01575309174841147,-0.2383134936604806,-0.01575309174841147,-0.16714744783800414,-0.02984327577197404
cancer-immunotherapy-r-0277,"Landscape review of PD-1 response, macrophage barriers, and neoantigen vaccination","This review connects checkpoint blockade, spatial atlas, synergy signal, and steroid management. It frames the field around early-phase trial, patient stratification, dose optimization, and mechanism of resistance.",2022,review-like mixed corpus,review,"Landscape review of PD-1 response, macrophage barriers, and neoantigen vaccination [SEP] This review connects checkpoint blockade, spatial atlas, synergy signal, and steroid management. It frames the field around early-phase trial, patient stratification, dose optimization, and mechanism of resistance.",5,6,0.9908005940325498,Cluster 6,Review hub: PD-1 response x macrophage barriers,0.3753127396660846,0.043226826297684505,0.3753127396660846,0.043226826297684505,-0.017617236273719743,0.09759369141209175
cancer-immunotherapy-02-0401,Spatial and single-cell profiling of immune niches: study 401,"This study examines immune niches through spatial atlas, immune contexture, and single-cell profiling. It also discusses links to immune-related adverse event and clinical triage, alongside molecular profiling and mechanism of resistance.",2025,Microenvironment profiling,core,"Spatial and single-cell profiling of immune niches: study 401 [SEP] This study examines immune niches through spatial atlas, immune contexture, and single-cell profiling. It also discusses links to immune-related adverse event and clinical triage, alongside molecular profiling and mechanism of resistance.",15,16,1.0,Cluster 16,Microenvironment profiling,-0.14305345571767752,-0.20042591390413367,-0.14305345571767752,-0.20042591390413367,0.29715869845235254,-0.0380588003150374
cancer-immunotherapy-03-0074,Combination immunotherapy strategy in radiotherapy priming: study 74,"This study examines radiotherapy priming through priming effect, synergy signal, and vaccine strategy. It also discusses links to interferon signaling and checkpoint blockade, alongside real-world evidence and portfolio review.",2023,Combination strategy,core,"Combination immunotherapy strategy in radiotherapy priming: study 74 [SEP] This study examines radiotherapy priming through priming effect, synergy signal, and vaccine strategy. It also discusses links to interferon signaling and checkpoint blockade, alongside real-world evidence and portfolio review.",3,4,1.0,Cluster 4,Combination strategy,-0.04601742210945419,-0.062068442157650464,-0.04601742210945419,-0.062068442157650464,-0.19285233181491696,0.25248109392623785
cancer-immunotherapy-01-0473,Biomarker mapping for PD-1 response: study 473,"This study examines PD-1 response through immune exclusion, checkpoint blockade, and response stratification. It also discusses links to priming effect and vaccine strategy, alongside translational biomarker and real-world evidence.",2024,Checkpoint biomarkers,core,"Biomarker mapping for PD-1 response: study 473 [SEP] This study examines PD-1 response through immune exclusion, checkpoint blockade, and response stratification. It also discusses links to priming effect and vaccine strategy, alongside translational biomarker and real-world evidence.",17,18,1.0,Cluster 18,Checkpoint biomarkers,-0.008208445041411919,0.004182520518782941,-0.008208445041411919,0.004182520518782941,-0.07734671513627027,-0.1630060257584611
cancer-immunotherapy-r-0239,"Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade","This review connects predictive assay, immune contexture, treatment sequence, and rechallenge strategy. It frames the field around early-phase trial, portfolio review, molecular profiling, and translational biomarker.",2020,review-like mixed corpus,review,"Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade [SEP] This review connects predictive assay, immune contexture, treatment sequence, and rechallenge strategy. It frames the field around early-phase trial, portfolio review, molecular profiling, and translational biomarker.",0,1,0.9974882771075411,Cluster 1,Review hub: interferon-gamma signatures x tumor microenvironment,0.39593966042499035,-0.0036260339890720823,0.39593966042499035,-0.0036260339890720823,-0.10762645272485198,-0.05262182933277975
cancer-immunotherapy-r-0047,"Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade","This review connects selection biomarker, spatial atlas, adaptive resistance, and rechallenge strategy. It frames the field around mechanism of resistance, patient stratification, clinical development, and validation cohort.",2020,review-like mixed corpus,review,"Landscape review of interferon-gamma signatures, tumor microenvironment, and VEGF blockade [SEP] This review connects selection biomarker, spatial atlas, adaptive resistance, and rechallenge strategy. It frames the field around mechanism of resistance, patient stratification, clinical development, and validation cohort.",0,1,1.0,Cluster 1,Review hub: interferon-gamma signatures x tumor microenvironment,0.36751341324733294,-0.027745539724444605,0.36751341324733294,-0.027745539724444605,-0.09925532051506315,-0.032618517102866146
cancer-immunotherapy-01-0045,Biomarker mapping for PD-1 response: study 45,"This study examines PD-1 response through checkpoint blockade, immune exclusion, and response stratification. It also discusses links to safety monitoring and clinical triage, alongside clinical development and patient stratification.",2022,Checkpoint biomarkers,core,"Biomarker mapping for PD-1 response: study 45 [SEP] This study examines PD-1 response through checkpoint blockade, immune exclusion, and response stratification. It also discusses links to safety monitoring and clinical triage, alongside clinical development and patient stratification.",17,18,0.9872767850481733,Cluster 18,Checkpoint biomarkers,-0.020321321868543615,-0.011681150420715873,-0.020321321868543615,-0.011681150420715873,-0.07878909059124167,-0.22841105942562107
cancer-immunotherapy-01-0290,Biomarker mapping for PD-L1 scoring: study 290,"This study examines PD-L1 scoring through selection biomarker, response stratification, and immune exclusion. It also discusses links to combination regimen and vaccine strategy, alongside molecular profiling and real-world evidence.",2021,Checkpoint biomarkers,core,"Biomarker mapping for PD-L1 scoring: study 290 [SEP] This study examines PD-L1 scoring through selection biomarker, response stratification, and immune exclusion. It also discusses links to combination regimen and vaccine strategy, alongside molecular profiling and real-world evidence.",16,17,1.0,Cluster 17,Checkpoint biomarkers,0.043610541099847744,-0.08612458779113032,0.043610541099847744,-0.08612458779113032,-0.13259200081531927,-0.20200315836868712
cancer-immunotherapy-02-0413,Spatial and single-cell profiling of immune niches: study 413,"This study examines immune niches through myeloid state, tissue architecture, and stromal barrier. It also discusses links to steroid management and rechallenge strategy, alongside dose optimization and portfolio review.",2025,Microenvironment profiling,core,"Spatial and single-cell profiling of immune niches: study 413 [SEP] This study examines immune niches through myeloid state, tissue architecture, and stromal barrier. It also discusses links to steroid management and rechallenge strategy, alongside dose optimization and portfolio review.",15,16,0.9793881921350562,Cluster 16,Microenvironment profiling,-0.08438432291149672,-0.170153961495202,-0.08438432291149672,-0.170153961495202,0.251797393333274,-0.013682069713835196
cancer-immunotherapy-x-0084,Integrated analysis of endocrinopathies with interferon-gamma signatures: study 84,"This paper links safety monitoring and steroid management to immune exclusion and predictive assay. The framing emphasizes patient stratification, dose optimization, and real-world evidence across mixed translational contexts.",2025,Toxicity management + Checkpoint biomarkers,crossover,"Integrated analysis of endocrinopathies with interferon-gamma signatures: study 84 [SEP] This paper links safety monitoring and steroid management to immune exclusion and predictive assay. The framing emphasizes patient stratification, dose optimization, and real-world evidence across mixed translational contexts.",20,21,0.949896580858455,Cluster 21,Bridge: Toxicity management x Checkpoint biomarkers,-0.03727197712819131,0.38315228857353845,-0.03727197712819131,0.38315228857353845,0.04146192418281782,-0.17931899378637994
cancer-immunotherapy-03-0361,Combination immunotherapy strategy in VEGF blockade: study 361,"This study examines VEGF blockade through treatment sequence, vaccine strategy, and combination regimen. It also discusses links to safety monitoring and steroid management, alongside dose optimization and validation cohort.",2022,Combination strategy,core,"Combination immunotherapy strategy in VEGF blockade: study 361 [SEP] This study examines VEGF blockade through treatment sequence, vaccine strategy, and combination regimen. It also discusses links to safety monitoring and steroid management, alongside dose optimization and validation cohort.",7,8,0.9766588730524762,Cluster 8,Combination strategy,-0.11515858674349251,-0.04657561127910967,-0.11515858674349251,-0.04657561127910967,-0.20684908358094276,0.23054690965798733
cancer-immunotherapy-r-0396,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming","This review connects interferon signaling, immune contexture, treatment sequence, and immune-related adverse event. It frames the field around mechanism of resistance, real-world evidence, molecular profiling, and validation cohort.",2021,review-like mixed corpus,review,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming [SEP] This review connects interferon signaling, immune contexture, treatment sequence, and immune-related adverse event. It frames the field around mechanism of resistance, real-world evidence, molecular profiling, and validation cohort.",2,3,0.9448002995806253,Cluster 3,Review hub: T-cell exhaustion x immune niches,0.2973508674813012,-0.06341574893846626,0.2973508674813012,-0.06341574893846626,-0.09255881093894956,0.01995688147336805
cancer-immunotherapy-r-0104,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming","This review connects interferon signaling, tissue architecture, adaptive resistance, and clinical triage. It frames the field around translational biomarker, molecular profiling, portfolio review, and early-phase trial.",2023,review-like mixed corpus,review,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming [SEP] This review connects interferon signaling, tissue architecture, adaptive resistance, and clinical triage. It frames the field around translational biomarker, molecular profiling, portfolio review, and early-phase trial.",2,3,1.0,Cluster 3,Review hub: T-cell exhaustion x immune niches,0.3915699649846662,-0.051665954954603105,0.3915699649846662,-0.051665954954603105,-0.059619007487312824,0.037821278220511664
cancer-immunotherapy-03-0227,Combination immunotherapy strategy in neoantigen vaccination: study 227,"This study examines neoantigen vaccination through adaptive resistance, synergy signal, and vaccine strategy. It also discusses links to predictive assay and immune exclusion, alongside validation cohort and mechanism of resistance.",2020,Combination strategy,core,"Combination immunotherapy strategy in neoantigen vaccination: study 227 [SEP] This study examines neoantigen vaccination through adaptive resistance, synergy signal, and vaccine strategy. It also discusses links to predictive assay and immune exclusion, alongside validation cohort and mechanism of resistance.",10,11,1.0,Cluster 11,Combination strategy,-0.10278855215088036,0.060723564472195825,-0.10278855215088036,0.060723564472195825,-0.10844535862928419,0.2639750408190619
cancer-immunotherapy-01-0297,Biomarker mapping for PD-1 response: study 297,"This study examines PD-1 response through selection biomarker, immune exclusion, and response stratification. It also discusses links to steroid management and safety monitoring, alongside patient stratification and validation cohort.",2022,Checkpoint biomarkers,core,"Biomarker mapping for PD-1 response: study 297 [SEP] This study examines PD-1 response through selection biomarker, immune exclusion, and response stratification. It also discusses links to steroid management and safety monitoring, alongside patient stratification and validation cohort.",17,18,0.9857888631592108,Cluster 18,Checkpoint biomarkers,-0.03877983517188885,-0.007922293554015653,-0.03877983517188885,-0.007922293554015653,-0.07956841538784991,-0.24541624239931376
cancer-immunotherapy-03-0242,Combination immunotherapy strategy in radiotherapy priming: study 242,"This study examines radiotherapy priming through combination regimen, treatment sequence, and synergy signal. It also discusses links to response stratification and selection biomarker, alongside patient stratification and dose optimization.",2023,Combination strategy,core,"Combination immunotherapy strategy in radiotherapy priming: study 242 [SEP] This study examines radiotherapy priming through combination regimen, treatment sequence, and synergy signal. It also discusses links to response stratification and selection biomarker, alongside patient stratification and dose optimization.",3,4,0.9952396820980021,Cluster 4,Combination strategy,-0.07415997621299032,-0.05058955251448741,-0.07415997621299032,-0.05058955251448741,-0.17016565092894193,0.2590795938861247
cancer-immunotherapy-03-0006,Combination immunotherapy strategy in radiotherapy priming: study 6,"This study examines radiotherapy priming through treatment sequence, priming effect, and vaccine strategy. It also discusses links to myeloid state and stromal barrier, alongside real-world evidence and translational biomarker.",2021,Combination strategy,core,"Combination immunotherapy strategy in radiotherapy priming: study 6 [SEP] This study examines radiotherapy priming through treatment sequence, priming effect, and vaccine strategy. It also discusses links to myeloid state and stromal barrier, alongside real-world evidence and translational biomarker.",3,4,0.9468628078055719,Cluster 4,Combination strategy,-0.08864810690673885,-0.0755787185257926,-0.08864810690673885,-0.0755787185257926,-0.13543573758109068,0.3214156445853119
cancer-immunotherapy-04-0166,Management of immune-related myocarditis: study 166,"This study examines myocarditis through steroid management, rechallenge strategy, and clinical triage. It also discusses links to selection biomarker and predictive assay, alongside portfolio review and validation cohort.",2020,Toxicity management,core,"Management of immune-related myocarditis: study 166 [SEP] This study examines myocarditis through steroid management, rechallenge strategy, and clinical triage. It also discusses links to selection biomarker and predictive assay, alongside portfolio review and validation cohort.",11,12,0.9589710264950257,Cluster 12,Toxicity management,-0.1827686753090287,-0.04027322961423795,-0.1827686753090287,-0.04027322961423795,-0.15815647391909002,-0.11736418634326533
cancer-immunotherapy-02-0247,Spatial and single-cell profiling of lymphocyte states: study 247,"This study examines lymphocyte states through tissue architecture, stromal barrier, and spatial atlas. It also discusses links to priming effect and vaccine strategy, alongside validation cohort and dose optimization.",2021,Microenvironment profiling,core,"Spatial and single-cell profiling of lymphocyte states: study 247 [SEP] This study examines lymphocyte states through tissue architecture, stromal barrier, and spatial atlas. It also discusses links to priming effect and vaccine strategy, alongside validation cohort and dose optimization.",8,9,0.9838193132513445,Cluster 9,Microenvironment profiling,-0.045426880259261004,-0.2437072120450103,-0.045426880259261004,-0.2437072120450103,0.2554021576791997,0.07920331626429161
cancer-immunotherapy-r-0352,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming","This review connects checkpoint blockade, stromal barrier, combination regimen, and toxicity grading. It frames the field around early-phase trial, patient stratification, portfolio review, and real-world evidence.",2025,review-like mixed corpus,review,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming [SEP] This review connects checkpoint blockade, stromal barrier, combination regimen, and toxicity grading. It frames the field around early-phase trial, patient stratification, portfolio review, and real-world evidence.",2,3,1.0,Cluster 3,Review hub: T-cell exhaustion x immune niches,0.38072171751145895,-0.07267611187750579,0.38072171751145895,-0.07267611187750579,-0.08253754530897743,0.07571699628551733
cancer-immunotherapy-01-0292,Biomarker mapping for T-cell exhaustion: study 292,"This study examines T-cell exhaustion through selection biomarker, response stratification, and immune exclusion. It also discusses links to immune contexture and stromal barrier, alongside validation cohort and clinical development.",2023,Checkpoint biomarkers,core,"Biomarker mapping for T-cell exhaustion: study 292 [SEP] This study examines T-cell exhaustion through selection biomarker, response stratification, and immune exclusion. It also discusses links to immune contexture and stromal barrier, alongside validation cohort and clinical development.",1,2,0.9936040526991037,Cluster 2,Checkpoint biomarkers,-0.03371606504445328,-0.09744225641661786,-0.03371606504445328,-0.09744225641661786,0.01852499433166662,-0.17393798328304222
cancer-immunotherapy-02-0282,Spatial and single-cell profiling of macrophage barriers: study 282,"This study examines macrophage barriers through single-cell profiling, immune contexture, and stromal barrier. It also discusses links to predictive assay and checkpoint blockade, alongside molecular profiling and validation cohort.",2020,Microenvironment profiling,core,"Spatial and single-cell profiling of macrophage barriers: study 282 [SEP] This study examines macrophage barriers through single-cell profiling, immune contexture, and stromal barrier. It also discusses links to predictive assay and checkpoint blockade, alongside molecular profiling and validation cohort.",14,15,0.9902956778998955,Cluster 15,Microenvironment profiling,-0.05008707212624697,-0.1886319150271079,-0.05008707212624697,-0.1886319150271079,0.3653246045613285,0.019508834626947687
cancer-immunotherapy-x-0145,Integrated analysis of PD-1 response with immune niches: study 145,"This paper links checkpoint blockade and interferon signaling to tissue architecture and stromal barrier. The framing emphasizes dose optimization, patient stratification, and mechanism of resistance across mixed translational contexts.",2020,Checkpoint biomarkers + Microenvironment profiling,crossover,"Integrated analysis of PD-1 response with immune niches: study 145 [SEP] This paper links checkpoint blockade and interferon signaling to tissue architecture and stromal barrier. The framing emphasizes dose optimization, patient stratification, and mechanism of resistance across mixed translational contexts.",19,20,0.9874810335921101,Cluster 20,Bridge: Checkpoint biomarkers x Microenvironment profiling,0.026698081225553418,0.3083126830555069,0.026698081225553418,0.3083126830555069,0.19905464988752047,-0.07430594831434552
cancer-immunotherapy-01-0323,Biomarker mapping for interferon-gamma signatures: study 323,"This study examines interferon-gamma signatures through interferon signaling, predictive assay, and checkpoint blockade. It also discusses links to combination regimen and vaccine strategy, alongside translational biomarker and real-world evidence.",2024,Checkpoint biomarkers,core,"Biomarker mapping for interferon-gamma signatures: study 323 [SEP] This study examines interferon-gamma signatures through interferon signaling, predictive assay, and checkpoint blockade. It also discusses links to combination regimen and vaccine strategy, alongside translational biomarker and real-world evidence.",18,19,1.0,Cluster 19,Checkpoint biomarkers,0.002125716637232352,0.07606904964450384,0.002125716637232352,0.07606904964450384,-0.12820551275715317,-0.246979600490152
cancer-immunotherapy-01-0299,Biomarker mapping for interferon-gamma signatures: study 299,"This study examines interferon-gamma signatures through response stratification, interferon signaling, and checkpoint blockade. It also discusses links to combination regimen and adaptive resistance, alongside validation cohort and portfolio review.",2024,Checkpoint biomarkers,core,"Biomarker mapping for interferon-gamma signatures: study 299 [SEP] This study examines interferon-gamma signatures through response stratification, interferon signaling, and checkpoint blockade. It also discusses links to combination regimen and adaptive resistance, alongside validation cohort and portfolio review.",18,19,0.9429455560353103,Cluster 19,Checkpoint biomarkers,0.03410650433336885,0.06920672203057257,0.03410650433336885,0.06920672203057257,-0.12781856977674697,-0.23805536917209774
cancer-immunotherapy-03-0299,Combination immunotherapy strategy in neoantigen vaccination: study 299,"This study examines neoantigen vaccination through treatment sequence, adaptive resistance, and priming effect. It also discusses links to interferon signaling and immune exclusion, alongside dose optimization and validation cohort.",2020,Combination strategy,core,"Combination immunotherapy strategy in neoantigen vaccination: study 299 [SEP] This study examines neoantigen vaccination through treatment sequence, adaptive resistance, and priming effect. It also discusses links to interferon signaling and immune exclusion, alongside dose optimization and validation cohort.",10,11,1.0,Cluster 11,Combination strategy,-0.07883841830875585,0.06909227352448712,-0.07883841830875585,0.06909227352448712,-0.10898854364294545,0.2618793080412544
cancer-immunotherapy-01-0195,Biomarker mapping for interferon-gamma signatures: study 195,"This study examines interferon-gamma signatures through immune exclusion, selection biomarker, and checkpoint blockade. It also discusses links to rechallenge strategy and toxicity grading, alongside validation cohort and dose optimization.",2022,Checkpoint biomarkers,core,"Biomarker mapping for interferon-gamma signatures: study 195 [SEP] This study examines interferon-gamma signatures through immune exclusion, selection biomarker, and checkpoint blockade. It also discusses links to rechallenge strategy and toxicity grading, alongside validation cohort and dose optimization.",18,19,0.9737202645590789,Cluster 19,Checkpoint biomarkers,-0.016138244807516244,0.07158865569240602,-0.016138244807516244,0.07158865569240602,-0.12769531977412352,-0.2955672921482537
cancer-immunotherapy-01-0064,Biomarker mapping for T-cell exhaustion: study 64,"This study examines T-cell exhaustion through response stratification, selection biomarker, and interferon signaling. It also discusses links to immune contexture and myeloid state, alongside real-world evidence and dose optimization.",2023,Checkpoint biomarkers,core,"Biomarker mapping for T-cell exhaustion: study 64 [SEP] This study examines T-cell exhaustion through response stratification, selection biomarker, and interferon signaling. It also discusses links to immune contexture and myeloid state, alongside real-world evidence and dose optimization.",1,2,1.0,Cluster 2,Checkpoint biomarkers,-0.014628127667596257,-0.09149144987306017,-0.014628127667596257,-0.09149144987306017,0.02025856645981941,-0.1817652283840068
cancer-immunotherapy-01-0394,Biomarker mapping for PD-L1 scoring: study 394,"This study examines PD-L1 scoring through checkpoint blockade, selection biomarker, and predictive assay. It also discusses links to immune contexture and tissue architecture, alongside validation cohort and dose optimization.",2023,Checkpoint biomarkers,core,"Biomarker mapping for PD-L1 scoring: study 394 [SEP] This study examines PD-L1 scoring through checkpoint blockade, selection biomarker, and predictive assay. It also discusses links to immune contexture and tissue architecture, alongside validation cohort and dose optimization.",16,17,1.0,Cluster 17,Checkpoint biomarkers,0.04889891771988874,-0.09952170970647874,0.04889891771988874,-0.09952170970647874,-0.08655621106215726,-0.26356032677932095
